run,k,algoritmo,maletas,score,tiempo_ms,total_travel_min,espera_min,transbordos,tardanza_min,sin_ruta
19,25000,NSGA-II,25001,11815468.80,86209,11111528.00,832256.00,9534,0.00,0
20,25000,ALNS,25001,9650702.20,33373,9386171.00,303824.00,5368,0.00,0
20,25000,NSGA-II,25001,11818501.00,86388,11117849.00,828145.00,9534,0.00,0
21,25000,ALNS,25001,9650702.20,33918,9386171.00,303824.00,5368,0.00,0
21,25000,NSGA-II,25001,11819592.60,90799,11115143.00,833257.00,9461,0.00,0
22,25000,ALNS,25001,9650702.20,33824,9386171.00,303824.00,5368,0.00,0
22,25000,NSGA-II,25001,11808253.80,89248,11110253.00,825016.00,9497,0.00,0
23,25000,ALNS,25001,9650702.20,33416,9386171.00,303824.00,5368,0.00,0
23,25000,NSGA-II,25001,11806258.20,86360,11109695.00,823304.00,9480,0.00,0
24,25000,ALNS,25001,9650702.20,33776,9386171.00,303824.00,5368,0.00,0
24,25000,NSGA-II,25001,11798224.20,89362,11102449.00,822394.00,9465,0.00,0
25,25000,ALNS,25001,9650702.20,33793,9386171.00,303824.00,5368,0.00,0
25,25000,NSGA-II,25001,11819468.00,86470,11117808.00,829320.00,9551,0.00,0
26,25000,ALNS,25001,9650702.20,34212,9386171.00,303824.00,5368,0.00,0
26,25000,NSGA-II,25001,11792404.40,92212,11088846.00,831723.00,9545,0.00,0
27,25000,ALNS,25001,9650702.20,33674,9386171.00,303824.00,5368,0.00,0
27,25000,NSGA-II,25001,11768655.00,88915,11070451.00,825415.00,9468,0.00,0
28,25000,ALNS,25001,9650702.20,33814,9386171.00,303824.00,5368,0.00,0
28,25000,NSGA-II,25001,11822507.20,87555,11119180.00,831514.00,9529,0.00,0
29,25000,ALNS,25001,9650702.20,34019,9386171.00,303824.00,5368,0.00,0
29,25000,NSGA-II,25001,11817824.00,89921,11122112.00,822065.00,9515,0.00,0
30,25000,ALNS,25001,9650702.20,33849,9386171.00,303824.00,5368,0.00,0
30,25000,NSGA-II,25001,11834109.40,93740,11126051.00,837393.00,9536,0.00,0
1,30000,ALNS,30001,11448066.40,35454,11131920.00,363308.00,6375,0.00,0
1,30000,NSGA-II,30001,14020376.20,141698,13174509.00,1000394.00,11388,0.00,0
2,30000,ALNS,30001,11448066.40,34301,11131920.00,363308.00,6375,0.00,0
2,30000,NSGA-II,30001,14007479.40,118469,13177421.00,981528.00,11209,0.00,0
3,30000,ALNS,30001,11448066.40,34889,11131920.00,363308.00,6375,0.00,0
3,30000,NSGA-II,30001,14007689.80,114635,13170705.00,989691.00,11308,0.00,0
4,30000,ALNS,30001,11448066.40,34309,11131920.00,363308.00,6375,0.00,0
4,30000,NSGA-II,30001,14013885.60,115576,13188508.00,975512.00,11242,0.00,0
5,30000,ALNS,30001,11448066.40,35783,11131920.00,363308.00,6375,0.00,0
5,30000,NSGA-II,30001,13992516.20,117868,13163613.00,979824.00,11261,0.00,0
6,30000,ALNS,30001,11448066.40,34280,11131920.00,363308.00,6375,0.00,0
6,30000,NSGA-II,30001,14015940.20,118696,13184221.00,983554.00,11219,0.00,0
7,30000,ALNS,30001,11448066.40,34497,11131920.00,363308.00,6375,0.00,0
7,30000,NSGA-II,30001,14006669.00,122221,13173897.00,984440.00,11305,0.00,0
8,30000,ALNS,30001,11448066.40,35401,11131920.00,363308.00,6375,0.00,0
8,30000,NSGA-II,30001,14015499.00,118723,13181163.00,986730.00,11238,0.00,0
9,30000,ALNS,30001,11448066.40,33987,11131920.00,363308.00,6375,0.00,0
9,30000,NSGA-II,30001,14013660.80,115266,13188092.00,976001.00,11192,0.00,0
10,30000,ALNS,30001,11448066.40,34844,11131920.00,363308.00,6375,0.00,0
10,30000,NSGA-II,30001,14028327.80,144290,13182115.00,1001111.00,11331,0.00,0
11,30000,ALNS,30001,11448066.40,34923,11131920.00,363308.00,6375,0.00,0
11,30000,NSGA-II,30001,13995893.20,116881,13165570.00,981679.00,11245,0.00,0
12,30000,ALNS,30001,11448066.40,34538,11131920.00,363308.00,6375,0.00,0
12,30000,NSGA-II,30001,14001236.00,115425,13170464.00,982050.00,11283,0.00,0
13,30000,ALNS,30001,11448066.40,34732,11131920.00,363308.00,6375,0.00,0
13,30000,NSGA-II,30001,14023901.20,116554,13197810.00,976754.00,11172,0.00,0
14,30000,ALNS,30001,11448066.40,34801,11131920.00,363308.00,6375,0.00,0
14,30000,NSGA-II,30001,13982421.60,120170,13153220.00,980587.00,11183,0.00,0
15,30000,ALNS,30001,11448066.40,34500,11131920.00,363308.00,6375,0.00,0
15,30000,NSGA-II,30001,14019255.60,117183,13186542.00,984502.00,11278,0.00,0
16,30000,ALNS,30001,11448066.40,34473,11131920.00,363308.00,6375,0.00,0
16,30000,NSGA-II,30001,13983431.80,117513,13162431.00,970331.00,11184,0.00,0
17,30000,ALNS,30001,11448066.40,34409,11131920.00,363308.00,6375,0.00,0
17,30000,NSGA-II,30001,13999189.80,114276,13171169.00,978926.00,11220,0.00,0
18,30000,ALNS,30001,11448066.40,33740,11131920.00,363308.00,6375,0.00,0
18,30000,NSGA-II,30001,14029903.80,119840,13200039.00,981106.00,11245,0.00,0
19,30000,ALNS,30001,11448066.40,34504,11131920.00,363308.00,6375,0.00,0
19,30000,NSGA-II,30001,14009171.00,117655,13178967.00,981175.00,11316,0.00,0
20,30000,ALNS,30001,11448066.40,34480,11131920.00,363308.00,6375,0.00,0
20,30000,NSGA-II,30001,13980935.60,118143,13152998.00,978837.00,11217,0.00,0
21,30000,ALNS,30001,11448066.40,34440,11131920.00,363308.00,6375,0.00,0
21,30000,NSGA-II,30001,14011189.60,118345,13180100.00,982507.00,11271,0.00,0
22,30000,ALNS,30001,11448066.40,34473,11131920.00,363308.00,6375,0.00,0
22,30000,NSGA-II,30001,13992210.00,124201,13159558.00,984900.00,11183,0.00,0
23,30000,ALNS,30001,11448066.40,34640,11131920.00,363308.00,6375,0.00,0
23,30000,NSGA-II,30001,14015609.00,117003,13180561.00,987670.00,11228,0.00,0
24,30000,ALNS,30001,11448066.40,34290,11131920.00,363308.00,6375,0.00,0
24,30000,NSGA-II,30001,14017759.80,115683,13180235.00,990196.00,11342,0.00,0
25,30000,ALNS,30001,11448066.40,34956,11131920.00,363308.00,6375,0.00,0
25,30000,NSGA-II,30001,13987183.00,115790,13163347.00,973970.00,11165,0.00,0
26,30000,ALNS,30001,11448066.40,34220,11131920.00,363308.00,6375,0.00,0
26,30000,NSGA-II,30001,13998595.20,120402,13167448.00,982544.00,11278,0.00,0
27,30000,ALNS,30001,11448066.40,34748,11131920.00,363308.00,6375,0.00,0
27,30000,NSGA-II,30001,14004130.60,114898,13180661.00,973077.00,11252,0.00,0
28,30000,ALNS,30001,11448066.40,34508,11131920.00,363308.00,6375,0.00,0
28,30000,NSGA-II,30001,13998344.80,122574,13162032.00,989151.00,11248,0.00,0
29,30000,ALNS,30001,11448066.40,34551,11131920.00,363308.00,6375,0.00,0
29,30000,NSGA-II,30001,13989689.40,117629,13163919.00,976293.00,11184,0.00,0
30,30000,ALNS,30001,11448066.40,33843,11131920.00,363308.00,6375,0.00,0
30,30000,NSGA-II,30001,14026175.60,122889,13196542.00,980882.00,11232,0.00,0
